pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
     timing   input  distance     judge  is_hardles
0     4.000   4.008     0.008  Perfect!       False
1     4.333   4.357     0.024  Perfect!       False
2     4.500   4.357     0.143       Bad       False
3     4.833   4.838     0.005  Perfect!       False
4     5.000   4.838     0.162       Bad       False
5     5.333   5.333     0.000  Perfect!       False
6     5.500   5.333     0.167       Bad       False
7     5.833   5.815     0.018  Perfect!       False
8     6.000   5.815     0.185       Bad       False
9     6.333   6.292     0.041  Perfect!       False
10    6.500   6.292     0.208       Bad       False
11    6.833   6.791     0.042  Perfect!       False
12    7.000   6.791     0.209       Bad       False
13    7.333   7.307     0.026  Perfect!       False
14    7.500   7.307     0.193       Bad       False
15    7.833   7.790     0.043  Perfect!       False
16    8.000   7.790     0.210       Bad       False
17    8.333   8.301     0.032  Perfect!       False
18    8.500   8.301     0.199       Bad       False
19    8.833   8.786     0.047  Perfect!       False
20    9.000   8.786     0.214       Bad       False
21    9.333   9.317     0.016  Perfect!       False
22    9.500   9.317     0.183       Bad       False
23    9.833   9.809     0.024  Perfect!       False
24   10.000   9.809     0.191       Bad       False
25   10.333  10.332     0.001  Perfect!       False
26   10.500  10.332     0.168       Bad       False
27   10.833  10.814     0.019  Perfect!       False
28   11.000  10.814     0.186       Bad       False
29   11.333  11.306     0.027  Perfect!       False
30   11.500  11.306     0.194       Bad       False
31   11.833  11.808     0.025  Perfect!       False
32   12.000  11.808     0.192       Bad       False
33   12.333  12.274     0.059     Good!       False
34   12.500  12.274     0.226       Bad       False
35   12.833  12.778     0.055     Good!       False
36   13.000  12.778     0.222       Bad       False
37   13.333  13.277     0.056     Good!       False
38   13.500  13.277     0.223       Bad       False
39   13.833  13.792     0.041  Perfect!       False
40   14.000  13.792     0.208       Bad       False
41   14.333  14.301     0.032  Perfect!       False
42   14.500  14.301     0.199       Bad       False
43   14.833  14.793     0.040  Perfect!       False
44   15.000  14.793     0.207       Bad       False
45   15.333  15.347     0.014  Perfect!       False
46   15.500  15.347     0.153       Bad       False
47   15.833  15.813     0.020  Perfect!       False
48   16.000  15.813     0.187       Bad       False
49   16.333  16.303     0.030  Perfect!       False
50   16.500  16.303     0.197       Bad       False
51   16.833  16.816     0.017  Perfect!       False
52   17.000  16.816     0.184       Bad       False
53   17.333  17.299     0.034  Perfect!       False
54   17.500  17.299     0.201       Bad       False
55   17.833  17.789     0.044  Perfect!       False
56   18.000  17.789     0.211       Bad       False
57   18.333  18.280     0.053     Good!       False
58   18.500  18.280     0.220       Bad       False
59   18.833  18.767     0.066     Good!       False
60   19.000  18.767     0.233       Bad       False
61   19.333  19.310     0.023  Perfect!       False
62   19.500  19.310     0.190       Bad       False
63   19.833  19.799     0.034  Perfect!       False
64   20.000  19.799     0.201       Bad       False
65   20.333  20.298     0.035  Perfect!       False
66   20.500  20.298     0.202       Bad       False
67   20.833  20.807     0.026  Perfect!       False
68   21.000  20.807     0.193       Bad       False
69   21.333  21.281     0.052     Good!       False
70   21.500  21.281     0.219       Bad       False
71   21.833  21.804     0.029  Perfect!       False
72   22.000  21.804     0.196       Bad        True
73   22.333  22.294     0.039  Perfect!        True
74   22.833  22.783     0.050  Perfect!        True
75   23.333  23.284     0.049  Perfect!        True
76   23.833  23.802     0.031  Perfect!        True
77   24.000  23.802     0.198       Bad       False
78   24.333  24.310     0.023  Perfect!       False
79   24.500  24.310     0.190       Bad       False
80   24.833  24.804     0.029  Perfect!       False
81   25.000  24.804     0.196       Bad       False
82   25.333  25.308     0.025  Perfect!       False
83   25.500  25.308     0.192       Bad       False
84   25.833  25.833     0.000  Perfect!       False
85   26.000  25.833     0.167       Bad       False
86   26.333  26.325     0.008  Perfect!       False
87   26.500  26.325     0.175       Bad       False
88   26.833  26.854     0.021  Perfect!       False
89   27.000  26.854     0.146       Bad       False
90   27.333  27.322     0.011  Perfect!       False
91   27.500  27.322     0.178       Bad       False
92   27.833  27.846     0.013  Perfect!       False
93   28.000  27.846     0.154       Bad       False
94   28.333  28.343     0.010  Perfect!       False
95   28.500  28.343     0.157       Bad       False
96   28.833  28.839     0.006  Perfect!       False
97   29.000  28.839     0.161       Bad       False
98   29.333  29.364     0.031  Perfect!       False
99   29.500  29.364     0.136       Bad       False
100  29.833  29.867     0.034  Perfect!       False
101  30.000  29.867     0.133       Bad        True
102  30.333  30.361     0.028  Perfect!        True
103  30.833  30.853     0.020  Perfect!        True
104  31.333  31.345     0.012  Perfect!        True
105  31.833  31.835     0.002  Perfect!        True
106  32.000  31.835     0.165       Bad       False
107  32.333  32.316     0.017  Perfect!       False
108  32.500  32.316     0.184       Bad       False
109  32.833  32.804     0.029  Perfect!       False
110  33.000  32.804     0.196       Bad       False
111  33.333  33.354     0.021  Perfect!       False
112  33.500  33.354     0.146       Bad       False
113  33.833  33.857     0.024  Perfect!       False
114  34.000  33.857     0.143       Bad       False
115  34.333  34.356     0.023  Perfect!       False
116  34.500  34.356     0.144       Bad       False
117  34.833  34.843     0.010  Perfect!       False
118  35.000  34.843     0.157       Bad       False
119  35.333  35.357     0.024  Perfect!       False
120  35.500  35.357     0.143       Bad       False
121  35.833  35.851     0.018  Perfect!       False
122  36.000  35.851     0.149       Bad        True
123  36.333  36.374     0.041  Perfect!        True
124  36.833  37.027     0.194       Bad        True
125  37.333  37.564     0.231       Bad        True
126  37.833   0.000     0.000                  True
127  38.000  38.084     0.084       Bad        True
128  38.333  38.084     0.249       Bad        True
129  38.833  38.801     0.032  Perfect!        True
130  39.333  39.309     0.024  Perfect!        True
131  39.833  39.803     0.030  Perfect!        True
132  40.000  39.803     0.197       Bad       False
133  40.333  40.338     0.005  Perfect!       False
134  40.500  40.338     0.162       Bad       False
135  40.833  40.826     0.007  Perfect!       False
136  41.000  40.826     0.174       Bad       False
137  41.333  41.333     0.000  Perfect!       False
138  41.500  41.333     0.167       Bad       False
139  41.833  41.824     0.009  Perfect!       False
140  42.000  41.824     0.176       Bad       False
141  42.333  42.314     0.019  Perfect!       False
142  42.500  42.314     0.186       Bad       False
143  42.833  42.814     0.019  Perfect!       False
144  43.000  42.814     0.186       Bad       False
145  43.333  43.308     0.025  Perfect!       False
146  43.500  43.308     0.192       Bad       False
147  43.833  43.799     0.034  Perfect!       False
148  44.000  43.799     0.201       Bad        True
149  44.333  44.308     0.025  Perfect!        True
150  44.833  44.802     0.031  Perfect!        True
151  45.333  45.318     0.015  Perfect!        True
152  45.833  45.816     0.017  Perfect!        True
153  46.000  45.816     0.184       Bad        True
154  46.500  46.567     0.067     Good!        True
155  47.000  47.064     0.064     Good!        True
156  47.500  47.555     0.055     Good!        True
157  48.000  48.038     0.038  Perfect!       False
158  48.333  48.363     0.030  Perfect!       False
159  48.500  48.363     0.137       Bad       False
160  48.833  48.883     0.050     Good!       False
161  49.000  48.883     0.117       Bad       False
162  49.333  49.362     0.029  Perfect!       False
163  49.500  49.362     0.138       Bad       False
164  49.833  49.876     0.043  Perfect!       False
165  50.000  49.876     0.124       Bad       False
166  50.333  50.368     0.035  Perfect!       False
167  50.500  50.368     0.132       Bad       False
168  50.833  50.865     0.032  Perfect!       False
169  51.000  50.865     0.135       Bad       False
